name,year
Comoros Domestic Cable System,2010
Eastern Africa Submarine System (EASSy),2010
Glo-1,2010
HANTRU1 Cable System,2010
Honotua,2010
IMEWE,2010
JaKa2LaDeMa,2010
Konstanz-Meersburg,2010
MainOne,2010
Mishima Village,2010
PGASCOM,2010
San Andres Isla Tolu Submarine Cable (SAIT),2010
Suriname-Guyana Submarine Cable System (SG-SCS),2010
Tobrok-Emasaed Cable System,2010
Tverrlinken,2010
Unity/EAC-Pacific,2010
Bicentenario,2011
Cabo Verde Telecom Domestic Submarine Cable Phase 3,2011
Canalink,2011
Ceiba-1,2011
East-West,2011
Energinet Laeso-Varberg,2011
Energinet Lyngsa-Laeso,2011
Europe India Gateway (EIG),2011
FISH North,2011
Hawk,2011
Hokkaido-Rebun-Rishiri,2011
JAVALI,2011
Mataram Kupang Cable System (MKCS),2011
Minamidaito Island,2011
Ogasawara Cable Network,2011
Pencan-8,2011
Romulo,2011
Saudi Arabia-Sudan-2 (SAS-2),2011
TE North/TGN-Eurasia/SEACOM/Alexandros/Medex,2011
Turcyos-2,2011
Africa Coast to Europe (ACE),2012
Alaska United Turnagain Arm (AUTA),2012
ALBA-1,2012
ARSAT Submarine Fiber Optic Cable,2012
Asia Submarine-cable Express (ASE)/Cahaya Malaysia,2012
CeltixConnect-1 (CC-1),2012
Cross-Straits Cable Network (CSCN),2012
Dhiraagu Cable Network,2012
Emerald Bridge Fibres,2012
Geo-Eirgrid,2012
Gulf Bridge International Cable System/Middle East North Africa Cable System (GBICS/MENA),2012
Jakarta-Bangka-Bintan-Batam-Singapore (B3JS),2012
Jonah,2012
Libreville-Port Gentil Cable,2012
Lower Indian Ocean Network 2 (LION2),2012
Pishgaman Oman Iran (POI) Network,2012
Seychelles to East Africa System (SEAS),2012
Tamares North,2012
Tata TGN-Gulf,2012
TERRA SW,2012
TT-1,2012
West Africa Cable System (WACS),2012
B2JS (Jakarta-Bangka-Batam-Singapore) Cable System,2013
Boracay-Palawan Submarine Cable System (BPSCS),2013
Guam Okinawa Kyushu Incheon (GOKI),2013
Java Bali Cable System (JBCS),2013
Lazaro Cardenas-Manzanillo Santiago Submarine Cable System (LCMSSCS),2013
OMRAN/EPEG,2013
"Saba, Statia Cable System (SSCS)",2013
Silphium,2013
Southeast Asia-Japan Cable (SJC),2013
Taiwan Penghu Kinmen Matsu No.3 (TPKM3),2013
Taiwan Strait Express-1 (TSE-1),2013
Tonga Cable,2013
America Movil Submarine Cable System-1 (AMX-1),2014
BT Highlands and Islands Submarine Cable System,2014
Didon,2014
Flores-Corvo Cable System,2014
Interchange Cable Network 1 (ICN1),2014
Isles of Scilly Cable,2014
Jambi-Batam Cable System (JIBA),2014
Kerch Strait Cable,2014
Middle East North Africa (MENA) Cable System/Gulf Bridge International,2014
Palawan-Iloilo Cable System,2014
PNG LNG,2014
POSEIDON,2014
Roquetas-Melilla (CAM),2014
Skagerrak 4,2014
Sumatera Bangka Cable System (SBCS),2014
